Processador_0:
c2;0;1
s3;1;4
a3;4;10
u2;10;20
g0;20;36
i1;36;55
e0;55;79
j0;79;107
z0;107;137
t0;137;171
m2;171;208
h1;208;248
y3;248;292

Processador_1:
j2;0;1
v2;1;4
g1;4;11
l2;11;23
v1;23;39
o1;39;59
n0;59;83
t1;83;111
f2;111;144
e3;144;179
s0;179;216
n2;216;256
c1;256;301

Processador_2:
k2;0;1
l0;1;5
n3;5;12
t3;12;24
x2;24;40
q1;40;60
o2;60;85
u1;85;113
g2;113;146
p0;146;181
q2;181;219
f1;219;260
j1;260;305

Processador_3:
m1;0;1
u3;1;5
s2;5;12
w2;12;25
b0;25;42
b3;42;63
x1;63;88
w0;88;116
i0;116;149
r3;149;184
v0;184;222
n1;222;263
m3;263;308

Processador_4:
o3;0;1
c0;1;6
k3;6;14
w3;14;27
b1;27;44
j3;44;65
l3;65;91
z1;91;119
r0;119;152
t2;152;187
f0;187;226
a0;226;268
p1;268;313

Processador_5:
q0;0;1
d1;1;6
b2;6;15
e2;15;29
l1;29;46
q3;46;68
h0;68;95
c3;95;124
y1;124;157
z3;157;192
y0;192;231
k0;231;275
r1;275;320

Processador_6:
s1;0;2
d2;2;7
o0;7;17
a1;17;32
d0;32;50
a2;50;73
r2;73;100
u0;100;129
f3;129;163
m0;163;199
d3;199;239
p3;239;283
x0;283;328

Processador_7:
w1;0;2
y2;2;7
p2;7;17
k1;17;32
i2;32;50
h2;50;73
z2;73;100
e1;100;130
h3;130;164
i3;164;201
g3;201;241
v3;241;285
x3;285;330

